Ingredient,impact_factor_final,impact_factor_name_final,impact_value_final,impact_unit_final,ref_amount_final,ref_unit_final
linguine,,,,,,
crayfish tail,,,,,,
salmon roe,a8e0bbfb-2fce-4f32-8d2d-4530eca3f356_bd6aab7d-fe7d-4396-b209-448ffb557a61_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for fish residues,0.236389194,kg,1,kg
coconut cookies,,,,,,
peach ice cream,,,,,,
venison loin steak,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
dried corn kernel,,,,,,
drinking chocolate,,,,,,
crispy rice cereal,,,,,,
butternut snap biscuit,,,,,,
serrano ham,,,,,,
baby tomato,b72d9580-130e-4d3b-9392-ec67c00f4b35_34967617-78b9-4120-9fbc-b8bf2d3c115b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tomato, fresh grade",0.519773113,kg,1,kg
tuna,2812a0cb-b2db-469e-bd87-c6c169170305_06409b90-2c57-437d-8111-8a6dc1051df1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for landed tuna, frozen, EPO",3.309162659,kg,1,kg
chocolate biscuit,,,,,,
rocket,,,,,,
non-hydrogenated margarine,,,,,,
spaetzle noodle,,,,,,
venison heart,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
smoked chicken breast,,,,,,
baker's baking chocolate,,,,,,
sweet pepper,65fcd3cc-40ef-4833-8f3a-489d49f37f26_98813ba1-c1a0-469d-99e0-6f2d8453c47d_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for bell pepper,2.220600128,kg,1,kg
paneer cheese,,,,,,
sunflower oil,,,,,,
adzuki bean,,,,,,
diced tomatoes in tomato puree,,,,,,
red onion ring,,,,,,
velveeta mexican cheese,,,,,,
candied red cherry,,,,,,
albacore tuna in water,,,,,,
instant bouillon granule,,,,,,
burrito,,,,,,
pastry for double-crust deep dish pie,,,,,,
vegemite,,,,,,
chocolate ice cream,,,,,,
self-rising corm meal mix,,,,,,
dried red bean,,,,,,
lean meat,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
roasted sunflower seed,31baad02-ed4d-4c04-8378-d16ac9dec200_20d649c2-db6b-4c9a-b529-409c9d43748e_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for sunflower seed,1.421001746,kg,1,kg
fresh pork shoulder,94630534-5fdd-4ab5-b65d-9fad003636d1_b458d873-946b-468f-b6bf-cdfdf6e0164f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for swine for slaughtering, live weight",8.271383352,kg,1,kg
malt syrup,,,,,,
turkey thigh,,,,,,
artichoke hearts in brine,,,,,,
oat bran flmy,18a75664-a503-4b99-87be-e11557cb81f1_396098c0-2dd0-4987-84e3-cd12a3b521b7_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for oat grain,0.726827058,kg,1,kg
pitted olife,,,,,,
waxed yellow bean,,,,,,
goat's cheese,,,,,,
cracker crumb,,,,,,
lean ground buffalo,,,,,,
pepper sauce,,,,,,
amaretto,,,,,,
cooked turkey breast,,,,,,
soft brown sugar,a7edce37-6252-45bf-9c3f-62a56e0d79d7_601aa448-72b2-4c2c-a05a-e185516d62a1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sugar, from sugarcane",0.844260073,kg,1,kg
corn chex,,,,,,
oleo,,,,,,
condensed chicken gumbo soup,,,,,,
pear,6bfd8993-8dff-4ae9-abe1-0fd32d2f4700_fb2a172f-2a59-4990-b362-64dd4825550f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for pear,0.481227283,kg,1,kg
unbleached cane sugar,a7edce37-6252-45bf-9c3f-62a56e0d79d7_601aa448-72b2-4c2c-a05a-e185516d62a1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sugar, from sugarcane",0.844260073,kg,1,kg
dried hot pepper,,,,,,
dried chervil,,,,,,
beef shoulder,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
ground cardamom,,,,,,
hard-cooked egg white,,,,,,
ranch dip mix,,,,,,
chili paste,,,,,,
stewing beef,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
flavoring,,,,,,
mango salsa,,,,,,
cheesecake,,,,,,
vanilla frozen yogurt,,,,,,
saffron strand,,,,,,
lemon verbena leaf,,,,,,
"oranges, zest of",,,,,,
matzoh,,,,,,
clamato juice,,,,,,
caperberry,,,,,,
merlot,cb3b1db1-ed6d-46c3-8aca-7732f1e35916_685944f8-452b-4ad4-a01a-863924792f27_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for grape,0.296887007,kg,1,kg
fresh turmeric,,,,,,
sushi rice,cf6e8d40-9765-40c3-82f6-cafce5d9f192_922db745-4df5-4b82-bbb6-98e81e4007d1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for rice, non-basmati",1.403095628,kg,1,kg
disco,,,,,,
ground galangal,,,,,,
powdered cocoa mix,,,,,,
dried cannellini bean,,,,,,
lemonade drink mix,,,,,,
smooth cashew butter,,,,,,
dream whip,,,,,,
jiffy baking mix,,,,,,
garlic seasoning,,,,,,
whole oat groat,18a75664-a503-4b99-87be-e11557cb81f1_396098c0-2dd0-4987-84e3-cd12a3b521b7_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for oat grain,0.726827058,kg,1,kg
parsley flake,,,,,,
corn and black bean salsa,,,,,,
frozen broccoli spear,,,,,,
cherry,,,,,,
turkey breast half,,,,,,
french parfait amour liqueur,,,,,,
o'brien frozen potato,,,,,,
unsalted sunflower seed,31baad02-ed4d-4c04-8378-d16ac9dec200_20d649c2-db6b-4c9a-b529-409c9d43748e_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for sunflower seed,1.421001746,kg,1,kg
kielbasa,,,,,,
blush wine,,,,,,
spicy mustard,,,,,,
bleached sultana raisin,,,,,,
pecan nut,,,,,,
fresh chive,,,,,,
rolled barley,51572e03-1857-42ec-9529-7f8c29d49594_3f6dada9-2497-4e1c-9e1b-eabafa6920f8_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for barley grain,0.520886683,kg,1,kg
baked pie shell,,,,,,
mcintosh apple,05ea603a-801e-4a21-bff6-30472d63b1a1_1c819f15-1202-4fa9-8ef9-72196c2dfb85_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for apple,0.319430888,kg,1,kg
beef chuck roast,,,,,,
fresh coconut,ab8fa796-5358-402f-9751-cbb36a856d97_1adc665e-bf97-4113-a2bf-567f6c781504_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for coconut, dehusked",0.81869465,kg,1,kg
stir-fry beef,,,,,,
canned clam,,,,,,
quik chocolate milk mix,,,,,,
mixed pepper,,,,,,
white grape,cb3b1db1-ed6d-46c3-8aca-7732f1e35916_685944f8-452b-4ad4-a01a-863924792f27_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for grape,0.296887007,kg,1,kg
whole wheat dinner roll,,,,,,
fontina,,,,,,
fresh black pepper,,,,,,
smoked tofu,,,,,,
strawberry margarita mix,,,,,,
sorghum,38350bd8-afe5-4526-a29b-9b7309f532fe_693d6795-b325-4ac0-af34-9ceda82a44fe_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for sweet sorghum grain,0.227221495,kg,1,kg
loquat,,,,,,
raspberry white wine vinegar,,,,,,
bologna,,,,,,
lime yogurt,,,,,,
coconut sorbet,,,,,,
shark,,,,,,
chocolate,,,,,,
beef heart,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
liquid egg substitute,,,,,,
dried currant,,,,,,
canned corn kernel,,,,,,
tuna salad,,,,,,
blackberry syrup,,,,,,
golden beet,,,,,,
cherry frosting,,,,,,
raw brown sugar,a7edce37-6252-45bf-9c3f-62a56e0d79d7_601aa448-72b2-4c2c-a05a-e185516d62a1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sugar, from sugarcane",0.844260073,kg,1,kg
genoa salami,,,,,,
waffle mix,,,,,,
italian seasoning,,,,,,
grouper steak,,,,,,
dry lentil,5f1ba7e7-d0da-4603-b0f9-244fe1eee88b_4783e92c-7b3b-5227-8270-18e215988fcc_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for lentil,0.771483329,kg,1,kg
hawaij,,,,,,
crumb topping,,,,,,
grape,cb3b1db1-ed6d-46c3-8aca-7732f1e35916_685944f8-452b-4ad4-a01a-863924792f27_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for grape,0.296887007,kg,1,kg
dukkah,,,,,,
soy chorizo,,,,,,
asian seasoning,,,,,,
lemon gelatin,,,,,,
chocolate candy,,,,,,
worchestershire sauce,,,,,,
butt,,,,,,
canned blueberry,,,,,,
barley malt syrup,,,,,,
puffed kashi,,,,,,
chicken gravy,,,,,,
matzo farfel,,,,,,
chambord raspberry liquor,,,,,,
garlic powder,,,,,,
back rib,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
chestnut flmy,,,,,,
shake-n-bake,,,,,,
deer roast,,,,,,
warm water,b9526660-a3de-4442-b60a-4d8763bc789f_cfc90fee-20f0-451a-8e50-a5bd859d3feb_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for water, completely softened",0.000325026,kg,1,kg
espresso powder,,,,,,
italian roll,,,,,,
pomegranate,f31f4bdb-f364-4395-801e-8899df72e34c_5023fbde-32f5-48c9-9e0d-bc1b370591b5_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for pomegranate,0.225995394,kg,1,kg
ring bologna,,,,,,
powdered allspice,,,,,,
psyllium,,,,,,
pineapple in juice,,,,,,
mesquite powder,,,,,,
pumpernickel bread,,,,,,
canned peach half,,,,,,
green pepper flake,,,,,,
vegan egg substitute,,,,,,
white grape juice,,,,,,
piri-pirus,,,,,,
brown bean,,,,,,
butterscotch schnapp,,,,,,
tropical fruit salad,,,,,,
dutch process cocoa,,,,,,
cream soda,,,,,,
frozen apple juice concentrate,,,,,,
hot chili paste,,,,,,
golden sultana raisin,,,,,,
frozen lima bean,,,,,,
chicken carcas,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for chicken for slaughtering, live weight",2.444632694,kg,1,kg
roasted red pepper,,,,,,
mixed french herb,,,,,,
cilantro stem,f4308d96-2bdf-4b0a-8196-7c171c5ebaaf_22cdbdf8-05c7-4410-9eff-7b12ff1877b3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for coriander,0.205071438,kg,1,kg
bagel chip,,,,,,
chai tea teabag,3f6d0090-fb8d-4637-a65f-87f975facb4e_1942f3d1-fad9-43da-a657-d5920c804cd6_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tea, dried",2.029453679,kg,1,kg
cabbage coleslaw blend,,,,,,
green food coloring paste,,,,,,
potato pierogy,,,,,,
panini bread,,,,,,
ghee,,,,,,
littleneck clam,,,,,,
bread mix,786db64c-2903-481a-bd39-cf5cbf203782_b73c05e7-72a9-40af-b33e-771c6964f4ce_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for wheat flour mix,1.148242719,kg,1,kg
agave,,,,,,
condensed new england clam chowder,,,,,,
yellow cherry tomato,b72d9580-130e-4d3b-9392-ec67c00f4b35_34967617-78b9-4120-9fbc-b8bf2d3c115b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tomato, fresh grade",0.519773113,kg,1,kg
frozen black-eyed pea,,,,,,
mostaccioli noodle,,,,,,
ham slice,,,,,,
fresh whole wheat bread crumb,a5fc7f30-04ba-49c7-a292-394a21989a5c_dca5d4c8-0e53-4f11-9df5-418e30a0e49f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for breadcrumbs,1.100980617,kg,1,kg
dashida,,,,,,
firm banana,2ac817ff-de6b-4644-8f35-492f33b891bf_3f376415-fc7f-485b-9713-609008c9994b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for banana,0.285998412,kg,1,kg
boursin cheese,,,,,,
beef blade roast,,,,,,
quahog,,,,,,
dry onion,,,,,,
butterscotch topping,,,,,,
butterscotch caramel sauce,,,,,,
black kale,,,,,,
green taco sauce,,,,,,
dry rub seasoning,,,,,,
goat milk yogurt,,,,,,
unsweetened grape juice,,,,,,
fresh corn,d28caba3-32e4-4896-8cef-38a45a6adb99_d86548c8-a433-44a0-91ba-073c2227b627_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for sweet corn,0.276942777,kg,1,kg
chocolate graham cracker crumb,,,,,,
red pear,6bfd8993-8dff-4ae9-abe1-0fd32d2f4700_fb2a172f-2a59-4990-b362-64dd4825550f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for pear,0.481227283,kg,1,kg
no-boil lasagna noodle,,,,,,
fleur de sel,,,,,,
fresh green chily,,,,,,
creme fraiche,564e1504-faaa-4ffb-a823-3351653311dc_e205cf62-396d-488a-8e2f-71344bbee1aa_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cream, from cow milk",2.52819913,kg,1,kg
lambs kidney,1cd0307c-4575-4e53-9299-a81c76f4eee9_2a80aed2-53c0-4eaa-bae1-829394a7cb32_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sheep for slaughtering, live weight",8.700476897,kg,1,kg
whole wheat penne rigate,,,,,,
bran,dec7645d-a9d9-4f62-b199-d521ffd1e9a9_eebb0924-cf1b-43a6-bdd4-c1a322ace5a0_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for wheat bran,0.33265765,kg,1,kg
black mustard seed,4bc3b6d0-7d4e-446b-9092-e8dbcc8cc1eb_315e2112-33e3-431d-891c-58a24fee409f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for mustard,2.12646028,kg,1,kg
mccormick thyme leaf,,,,,,
lemon pie filling,,,,,,
corn flakes cereal,,,,,,
vegan chocolate chip,,,,,,
bulls eye bold barbecue sauce,,,,,,
ro-tel diced tomato,,,,,,
light whole wheat bread,,,,,,
candy corn,,,,,,
herring in wine sauce,,,,,,
light chocolate syrup,,,,,,
firm tofu,59514d53-7901-4892-8bea-7595ab05265d_880a4a66-9bfb-4830-9a5b-6a4502cbff78_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for tofu,1.199968329,kg,1,kg
dandelion flower,,,,,,
